"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 22 22:23:11 EET 2021","Wed Dec 22 22:23:20 EET 2021","9118","","Search page","","Search page","Placed Best Juice Shop Salesman Artwork into basket.","Placed Best Juice Shop Salesman Artwork into basket.",""
"broken","Wed Dec 22 22:22:15 EET 2021","Wed Dec 22 22:22:18 EET 2021","2838","","Registration page","","Registration page","Should display correct error message if email not unique","Should display correct error message if email not unique",""
"passed","Wed Dec 22 22:22:18 EET 2021","Wed Dec 22 22:22:19 EET 2021","684","","Login page","","Login page","Should display correct error message if invalid mail or password","Should display correct error message if invalid mail or password",""
"broken","Wed Dec 22 22:20:42 EET 2021","Wed Dec 22 22:20:45 EET 2021","2889","","Registration page","","Registration page","Registration should be completed successfully!","Registration should be completed successfully!",""
"failed","Wed Dec 22 22:20:45 EET 2021","Wed Dec 22 22:20:56 EET 2021","11073","","Login page","","Login page","Login should be completed successfully!","Login should be completed successfully!",""
"passed","Wed Dec 22 22:20:47 EET 2021","Wed Dec 22 22:20:48 EET 2021","1290","","Login page","","Login page","Login should be completed successfully!","Login should be completed successfully!",""
"passed","Wed Dec 22 22:22:22 EET 2021","Wed Dec 22 22:22:22 EET 2021","564","","Login page","","Login page","Should display correct error message if invalid mail or password","Should display correct error message if invalid mail or password",""
"broken","Wed Dec 22 22:23:12 EET 2021","Wed Dec 22 22:23:19 EET 2021","6795","","Search page","","Search page","Placed Best Juice Shop Salesman Artwork into basket.","Placed Best Juice Shop Salesman Artwork into basket.",""
"passed","Wed Dec 22 22:20:41 EET 2021","Wed Dec 22 22:20:47 EET 2021","6236","","Registration page","","Registration page","Registration should be completed successfully!","Registration should be completed successfully!",""
"passed","Wed Dec 22 22:22:14 EET 2021","Wed Dec 22 22:22:22 EET 2021","7442","","Registration page","","Registration page","Should display correct error message if email not unique","Should display correct error message if email not unique",""
